,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
11,"4209 Willow Lake Rd, Raleigh, NC 27616","$365,000",3,3,"1,534",2,4209 Willow Lake Rd, Raleigh,NC 27616,NC,27616,2022-12-03
12,"4713 Mial Plantation Rd, Raleigh, NC 27610","$415,000",3,3,"1,946",2,4713 Mial Plantation Rd, Raleigh,NC 27610,NC,27610,2022-12-03
13,"11241 Lofty Heights Pl, Raleigh, NC 27614","$340,000",2,2,"1,138",2,11241 Lofty Heights Pl, Raleigh,NC 27614,NC,27614,2022-12-03
14,"2231 Raven Rd UNIT 107, Raleigh, NC 27614","$285,000",3,3,"1,740",2,2231 Raven Rd UNIT 107, Raleigh,NC 27614,NC,27614,2022-12-03
15,"341 Gilman Ln UNIT 111, Raleigh, NC 27610","$280,000",3,3,"1,753",1,341 Gilman Ln UNIT 111, Raleigh,NC 27610,NC,27610,2022-12-03
16,"4332 Rockside Hills Dr, Raleigh, NC 27603","$419,500",3,2,"1,820",4,4332 Rockside Hills Dr, Raleigh,NC 27603,NC,27603,2022-12-03
17,"3100 Braddock Dr, Raleigh, NC 27612","$639,500",5,3,"3,567",3,3100 Braddock Dr, Raleigh,NC 27612,NC,27612,2022-12-03
18,"701 Lake Brandon Trl, Raleigh, NC 27610","$324,000",3,3,"1,625",1,701 Lake Brandon Trl, Raleigh,NC 27610,NC,27610,2022-12-03
19,"7408 Wilderness Rd, Raleigh, NC 27613","$549,900",4,3,"2,495",2,7408 Wilderness Rd, Raleigh,NC 27613,NC,27613,2022-12-03
20,"4608 Ryegate Dr, Raleigh, NC 27604","$359,775",4,2,"1,591",1,4608 Ryegate Dr, Raleigh,NC 27604,NC,27604,2022-12-03
21,"5804 Conly Dr, Raleigh, NC 27603","$300,000",3,2,"1,319",6,5804 Conly Dr, Raleigh,NC 27603,NC,27603,2022-12-03
22,"12521 Waterlow Park Ln, Raleigh, NC 27614","$379,900",3,3,"1,441",1,12521 Waterlow Park Ln, Raleigh,NC 27614,NC,27614,2022-12-03
23,"410 Weathergreen Dr, Raleigh, NC 27615","$390,000",4,4,"2,665",2,410 Weathergreen Dr, Raleigh,NC 27615,NC,27615,2022-12-03
24,"8967 Commons Townes Dr, Raleigh, NC 27616","$329,000",3,3,"1,407",1,8967 Commons Townes Dr, Raleigh,NC 27616,NC,27616,2022-12-03
25,"3305 Glen Currin Dr, Raleigh, NC 27612","$445,000",3,3,"1,339",2,3305 Glen Currin Dr, Raleigh,NC 27612,NC,27612,2022-12-03
26,"10316 20th Rd, Raleigh, NC 27603","$679,900",4,4,"2,840",3,10316 20th Rd, Raleigh,NC 27603,NC,27603,2022-12-03
27,"3401 Sitzman Ct, Raleigh, NC 27616","$335,000",3,3,"1,661",1,3401 Sitzman Ct, Raleigh,NC 27616,NC,27616,2022-12-03
28,"1041 Wirewood Dr APT 202, Raleigh, NC 27605","$369,900",2,2,"1,120",2,1041 Wirewood Dr APT 202, Raleigh,NC 27605,NC,27605,2022-12-03
29,"3804 Burwell Rollins Cir, Raleigh, NC 27612","$675,000",3,3,"2,860",1,3804 Burwell Rollins Cir, Raleigh,NC 27612,NC,27612,2022-12-03
30,"2308 Myron Dr APT 103, Raleigh, NC 27607","$264,775",3,2,990,1,2308 Myron Dr APT 103, Raleigh,NC 27607,NC,27607,2022-12-03
31,"825 Swan Neck Ln, Raleigh, NC 27615","$415,000",3,3,"1,800",1,825 Swan Neck Ln, Raleigh,NC 27615,NC,27615,2022-12-03
32,"2212 Anderson Dr, Raleigh, NC 27608","$1,249,000",4,3,"3,007",8,2212 Anderson Dr, Raleigh,NC 27608,NC,27608,2022-12-03
33,"5917 Meadowlark Ln, Raleigh, NC 27610","$374,900",4,2,"1,452",2,5917 Meadowlark Ln, Raleigh,NC 27610,NC,27610,2022-12-03
34,"4505 Buffaloe Rd, Raleigh, NC 27616","$290,000",3,2,"1,396",5,4505 Buffaloe Rd, Raleigh,NC 27616,NC,27616,2022-12-03
35,"1204 Aaron Dr, Raleigh, NC 27610","$307,999",3,3,"1,729",1,1204 Aaron Dr, Raleigh,NC 27610,NC,27610,2022-12-03
36,"4236 Lake Ridge Dr #0, Raleigh, NC 27604","$200,000",2,2,"1,026",2,4236 Lake Ridge Dr #0, Raleigh,NC 27604,NC,27604,2022-12-03
37,"2472 Sapphire Valley Dr, Raleigh, NC 27604","$325,000",3,3,"1,721",3,2472 Sapphire Valley Dr, Raleigh,NC 27604,NC,27604,2022-12-03
38,"1004 Trollingwood Ln, Raleigh, NC 27615","$360,000",3,2,"1,324",1,1004 Trollingwood Ln, Raleigh,NC 27615,NC,27615,2022-12-03
39,"5005 Dawn Piper Dr, Raleigh, NC 27613","$355,000",3,3,"1,382",2,5005 Dawn Piper Dr, Raleigh,NC 27613,NC,27613,2022-12-03
40,"1327 Cricket Ridge Dr, Raleigh, NC 27610","$280,000",3,3,"1,404",7,1327 Cricket Ridge Dr, Raleigh,NC 27610,NC,27610,2022-12-03
41,"1549 Village Glenn Dr, Raleigh, NC 27612","$379,900",3,3,"1,942",1,1549 Village Glenn Dr, Raleigh,NC 27612,NC,27612,2022-12-03
42,"632 Duke Dr, Raleigh, NC 27609","$499,160",3,2,"1,190",1,632 Duke Dr, Raleigh,NC 27609,NC,27609,2022-12-03
43,"101 Woods Ream Dr, Raleigh, NC 27615","$300,000",3,2,"1,554",3,101 Woods Ream Dr, Raleigh,NC 27615,NC,27615,2022-12-03
44,"2717 Peachleaf St, Raleigh, NC 27614","$625,000",4,3,"3,730",1,2717 Peachleaf St, Raleigh,NC 27614,NC,27614,2022-12-03
45,"2116 Turtle Point Dr, Raleigh, NC 27604","$269,000",3,3,"1,430",2,2116 Turtle Point Dr, Raleigh,NC 27604,NC,27604,2022-12-03
46,"7600 Birchmoor Way, Raleigh, NC 27616","$459,000",4,5,"2,828",1,7600 Birchmoor Way, Raleigh,NC 27616,NC,27616,2022-12-03
47,"4212 Timberwood Dr, Raleigh, NC 27612","$384,900",3,3,"1,503",7,4212 Timberwood Dr, Raleigh,NC 27612,NC,27612,2022-12-03
48,"4601 Landover Woods Ln, Raleigh, NC 27616","$400,000",4,3,"2,034",1,4601 Landover Woods Ln, Raleigh,NC 27616,NC,27616,2022-12-03
49,"5920 Dunbarton Way, Raleigh, NC 27613","$549,900",4,3,"2,343",3,5920 Dunbarton Way, Raleigh,NC 27613,NC,27613,2022-12-03
50,"548 Dacian Rd, Raleigh, NC 27610","$289,000",4,3,"1,592",2,548 Dacian Rd, Raleigh,NC 27610,NC,27610,2022-12-03
51,"269 Beechwood Hill Dr, Raleigh, NC 27603","$329,000",3,3,"2,313",9,269 Beechwood Hill Dr, Raleigh,NC 27603,NC,27603,2022-12-03
52,"3800 Ingram Dr, Raleigh, NC 27604","$575,000",3,3,"1,800",3,3800 Ingram Dr, Raleigh,NC 27604,NC,27604,2022-12-03
53,"105 Tall Rock Court, Raleigh, NC 27610","$257,900",2,2,938,3,105 Tall Rock Court, Raleigh,NC 27610,NC,27610,2022-12-03
54,"7112 Ray Rd, Raleigh, NC 27613","$385,000",3,2,"1,523",2,7112 Ray Rd, Raleigh,NC 27613,NC,27613,2022-12-03
55,"2108 Ramseur St, Raleigh, NC 27610","$449,900",4,3,"1,900",1,2108 Ramseur St, Raleigh,NC 27610,NC,27610,2022-12-03
56,"6236 Morning Glory Dr, Raleigh, NC 27603","$807,000",4,4,"4,000",2,6236 Morning Glory Dr, Raleigh,NC 27603,NC,27603,2022-12-03
57,"4412 Birmingham Way, Raleigh, NC 27604","$370,000",4,3,"2,192",5,4412 Birmingham Way, Raleigh,NC 27604,NC,27604,2022-12-03
58,"4504 Queen Pierrette St #21, Raleigh, NC 27610","$303,990",3,3,"1,601",2,4504 Queen Pierrette St #21, Raleigh,NC 27610,NC,27610,2022-12-03
59,"1908 Jupiter Hills Ct, Raleigh, NC 27604","$350,000",3,3,"1,558",2,1908 Jupiter Hills Ct, Raleigh,NC 27604,NC,27604,2022-12-03
60,"2203 Landings Way, Raleigh, NC 27615","$500,000",4,3,"2,385",1,2203 Landings Way, Raleigh,NC 27615,NC,27615,2022-12-03
61,"3008 Dawnbrook Dr, Raleigh, NC 27604","$415,000",4,3,"2,775",9,3008 Dawnbrook Dr, Raleigh,NC 27604,NC,27604,2022-12-03
62,"3127 Briar Stream Run, Raleigh, NC 27612","$899,900",4,4,"3,453",3,3127 Briar Stream Run, Raleigh,NC 27612,NC,27612,2022-12-03
63,"8500 Flying Buttress Dr, Raleigh, NC 27613","$394,000",2,3,"1,605",1,8500 Flying Buttress Dr, Raleigh,NC 27613,NC,27613,2022-12-03
64,"4001 Blackard Pond Rd, Raleigh, NC 27604","$349,900",3,2,"1,925",1,4001 Blackard Pond Rd, Raleigh,NC 27604,NC,27604,2022-12-03
65,"2613 Elmhurst Cir, Raleigh, NC 27610","$272,500",3,1,"1,064",1,2613 Elmhurst Cir, Raleigh,NC 27610,NC,27610,2022-12-03
66,"10340 Grafton Rd, Raleigh, NC 27615","$1,795,000",5,6,"4,536",2,10340 Grafton Rd, Raleigh,NC 27615,NC,27615,2022-12-03
67,"5915 Kayton St, Raleigh, NC 27616","$415,000",4,4,"2,374",1,5915 Kayton St, Raleigh,NC 27616,NC,27616,2022-12-03
68,"3528 Dewing Dr, Raleigh, NC 27616","$410,000",4,3,"2,977",6,3528 Dewing Dr, Raleigh,NC 27616,NC,27616,2022-12-03
69,"4216 Loon Ln, Raleigh, NC 27616","$328,000",3,3,"1,581",2,4216 Loon Ln, Raleigh,NC 27616,NC,27616,2022-12-03
70,"2112 Leadenhall Way, Raleigh, NC 27603","$399,900",3,3,"1,516",3,2112 Leadenhall Way, Raleigh,NC 27603,NC,27603,2022-12-03
71,"204 Rattan Bay Dr, Raleigh, NC 27610","$290,000",3,2,"1,300",4,204 Rattan Bay Dr, Raleigh,NC 27610,NC,27610,2022-12-03
72,"426 Chavis Way, Raleigh, NC 27601","$759,000",2,4,"1,878",2,426 Chavis Way, Raleigh,NC 27601,NC,27601,2022-12-03
73,"4105 Crowfield Dr, Raleigh, NC 27610","$329,000",4,3,"1,786",3,4105 Crowfield Dr, Raleigh,NC 27610,NC,27610,2022-12-03
74,"500 Trunecek Cir, Raleigh, NC 27603","$450,000",3,2,"2,445",9,500 Trunecek Cir, Raleigh,NC 27603,NC,27603,2022-12-03
75,"609 Jordan Ridge Ln, Raleigh, NC 27603","$388,000",3,3,"2,031",5,609 Jordan Ridge Ln, Raleigh,NC 27603,NC,27603,2022-12-03
76,"7309 Massachusetts Ct, Raleigh, NC 27615","$389,900",3,3,"1,750",1,7309 Massachusetts Ct, Raleigh,NC 27615,NC,27615,2022-12-03
77,"1616 Wynne Trace Ct, Raleigh, NC 27603","$725,000",5,4,"4,336",5,1616 Wynne Trace Ct, Raleigh,NC 27603,NC,27603,2022-12-03
78,"612 Poplar Springs Church Rd, Raleigh, NC 27603","$389,000",3,2,"1,874",7,612 Poplar Springs Church Rd, Raleigh,NC 27603,NC,27603,2022-12-03
79,"2419 Britt Dr, Raleigh, NC 27610","$399,900",3,2,"2,290",5,2419 Britt Dr, Raleigh,NC 27610,NC,27610,2022-12-03
80,"601 Okelly St, Raleigh, NC 27607","$275,000",3,2,"1,222",1,601 Okelly St, Raleigh,NC 27607,NC,27607,2022-12-03
81,"104 S Pettigrew St, Raleigh, NC 27610","$485,000",3,2,"1,313",2,104 S Pettigrew St, Raleigh,NC 27610,NC,27610,2022-12-03
82,"8801 Wildwood Links, Raleigh, NC 27613","$587,000",3,2,"2,364",1,8801 Wildwood Links, Raleigh,NC 27613,NC,27613,2022-12-03
83,"1024 Sandel Ln, Raleigh, NC 27603","$445,000",3,3,"2,631",4,1024 Sandel Ln, Raleigh,NC 27603,NC,27603,2022-12-03
84,"1621 Whittington Dr, Raleigh, NC 27614","$550,000",4,3,"2,686",8,1621 Whittington Dr, Raleigh,NC 27614,NC,27614,2022-12-03
85,"524 Branch St, Raleigh, NC 27601","$289,900",3,1,"1,034",4,524 Branch St, Raleigh,NC 27601,NC,27601,2022-12-03
86,"5904 Endsley Ct, Raleigh, NC 27610","$352,000",3,3,"1,566",1,5904 Endsley Ct, Raleigh,NC 27610,NC,27610,2022-12-03
87,"1061 Wirewood Dr APT 204, Raleigh, NC 27605","$405,000",2,2,"1,120",2,1061 Wirewood Dr APT 204, Raleigh,NC 27605,NC,27605,2022-12-03
88,"4001 Mindspring Dr, Raleigh, NC 27610","$250,000",3,3,"1,319",3,4001 Mindspring Dr, Raleigh,NC 27610,NC,27610,2022-12-03
89,"716 Nash Dr, Raleigh, NC 27608","$575,000",5,2,"2,324",5,716 Nash Dr, Raleigh,NC 27608,NC,27608,2022-12-03
90,"7310 Summerland Dr, Raleigh, NC 27612","$310,000",3,3,"1,628",7,7310 Summerland Dr, Raleigh,NC 27612,NC,27612,2022-12-03
91,"816 Peyton St, Raleigh, NC 27610","$469,900",4,4,"1,949",1,816 Peyton St, Raleigh,NC 27610,NC,27610,2022-12-03
92,"11308 Derby Ln, Raleigh, NC 27613","$760,000",4,4,"3,450",5,11308 Derby Ln, Raleigh,NC 27613,NC,27613,2022-12-03
93,"1615 Malta Ave, Raleigh, NC 27610","$299,000",4,3,"1,352",7,1615 Malta Ave, Raleigh,NC 27610,NC,27610,2022-12-03
94,"1330 Armstrong Cir, Raleigh, NC 27610","$309,900",4,2,"1,307",4,1330 Armstrong Cir, Raleigh,NC 27610,NC,27610,2022-12-03
95,"3409 Cheyenne Rd, Raleigh, NC 27609","$389,800",3,2,"1,394",1,3409 Cheyenne Rd, Raleigh,NC 27609,NC,27609,2022-12-03
96,"5426 Talserwood Dr, Raleigh, NC 27610","$190,000",3,3,"1,115",4,5426 Talserwood Dr, Raleigh,NC 27610,NC,27610,2022-12-03
97,"1331 Courtland Dr, Raleigh, NC 27604","$1,000,000",4,3,"2,529",5,1331 Courtland Dr, Raleigh,NC 27604,NC,27604,2022-12-03
98,"6500 Hammersmith Dr, Raleigh, NC 27613","$480,000",3,2,"1,482",2,6500 Hammersmith Dr, Raleigh,NC 27613,NC,27613,2022-12-03
99,"4800 Patton Ridge Ct, Raleigh, NC 27612","$929,000",5,5,"3,644",1,4800 Patton Ridge Ct, Raleigh,NC 27612,NC,27612,2022-12-03
100,"2219 River Basin Ln, Raleigh, NC 27610","$339,900",3,3,"1,863",1,2219 River Basin Ln, Raleigh,NC 27610,NC,27610,2022-12-03
101,"7800 Foxwood Dr, Raleigh, NC 27615","$375,000",3,2,"1,562",9,7800 Foxwood Dr, Raleigh,NC 27615,NC,27615,2022-12-03
102,"2708 Boxelder Ct, Raleigh, NC 27610","$285,000",3,2,"1,070",1,2708 Boxelder Ct, Raleigh,NC 27610,NC,27610,2022-12-03
103,"1112 Stoneferry Ln, Raleigh, NC 27606","$449,000",3,3,"1,768",8,1112 Stoneferry Ln, Raleigh,NC 27606,NC,27606,2022-12-03
104,"410 Fenton St, Raleigh, NC 27604","$625,000",3,2,"1,712",1,410 Fenton St, Raleigh,NC 27604,NC,27604,2022-12-03
105,"1112 Temple St, Raleigh, NC 27609","$499,000",3,2,"1,433",3,1112 Temple St, Raleigh,NC 27609,NC,27609,2022-12-03
106,"3709 Beaver Creek Dr, Raleigh, NC 27604","$510,000",3,3,"2,074",1,3709 Beaver Creek Dr, Raleigh,NC 27604,NC,27604,2022-12-03
107,"4301 Sugarbend Way, Raleigh, NC 27606","$299,900",2,3,"1,345",3,4301 Sugarbend Way, Raleigh,NC 27606,NC,27606,2022-12-03
108,"6000 Winterpointe Ln APT 104, Raleigh, NC 27606","$255,000",2,2,"1,089",9,6000 Winterpointe Ln APT 104, Raleigh,NC 27606,NC,27606,2022-12-03
109,"5121 Carnelian Dr, Raleigh, NC 27610","$325,000",4,3,"1,629",3,5121 Carnelian Dr, Raleigh,NC 27610,NC,27610,2022-12-03
110,"1200 Kerrigan Ln, Raleigh, NC 27603","$329,900",3,3,"1,709",2,1200 Kerrigan Ln, Raleigh,NC 27603,NC,27603,2022-12-03
111,"904 Lake Forest Dr, Raleigh, NC 27615","$288,600",3,2,"1,772",D,904 Lake Forest Dr, Raleigh,NC 27615,NC,27615,2022-12-03
112,"11905 Straight A Way Ln, Raleigh, NC 27613","$550,000",4,3,"2,882",8,11905 Straight A Way Ln, Raleigh,NC 27613,NC,27613,2022-12-03
113,"5704 Continental Way, Raleigh, NC 27610","$336,000",3,3,"1,627",5,5704 Continental Way, Raleigh,NC 27610,NC,27610,2022-12-03
114,"2834 Bedfordshire Ct, Raleigh, NC 27604","$247,000",2,2,"1,053",6,2834 Bedfordshire Ct, Raleigh,NC 27604,NC,27604,2022-12-03
115,"12805 Rosalie St, Raleigh, NC 27614","$799,990",5,5,"3,909",2,12805 Rosalie St, Raleigh,NC 27614,NC,27614,2022-12-03
116,"1919 Fieldhouse Ave, Raleigh, NC 27603","$330,000",3,3,"1,531",7,1919 Fieldhouse Ave, Raleigh,NC 27603,NC,27603,2022-12-03
117,"11710 Mezzanine Dr UNIT 101, Raleigh, NC 27614","$289,000",3,3,"1,735",1,11710 Mezzanine Dr UNIT 101, Raleigh,NC 27614,NC,27614,2022-12-03
118,"1908 White Oak Rd, Raleigh, NC 27608","$579,900",3,2,"1,448",3,1908 White Oak Rd, Raleigh,NC 27608,NC,27608,2022-12-03
119,"319 Fayetteville St UNIT 314, Raleigh, NC 27601","$480,000",2,2,"1,510",2,319 Fayetteville St UNIT 314, Raleigh,NC 27601,NC,27601,2022-12-03
120,"832 Graham St, Raleigh, NC 27605","$2,500,000",4,4,"4,665",2,832 Graham St, Raleigh,NC 27605,NC,27605,2022-12-03
121,"12305 Kendall Ridge Ct, Durham, NC 27703","$375,000",4,3,"1,849",5,12305 Kendall Ridge Ct, Durham,NC 27703,NC,27703,2022-12-03
122,"3309 Snowberry Dr, Raleigh, NC 27610","$385,000",4,3,"2,053",6,3309 Snowberry Dr, Raleigh,NC 27610,NC,27610,2022-12-03
123,"5120 Wood Valley Dr, Raleigh, NC 27613","$599,000",4,3,"3,343",3,5120 Wood Valley Dr, Raleigh,NC 27613,NC,27613,2022-12-03
124,"6305 Paint Rock Ln, Raleigh, NC 27610","$395,000",5,4,"2,762",1,6305 Paint Rock Ln, Raleigh,NC 27610,NC,27610,2022-12-03
125,"2029 Township Cir, Raleigh, NC 27609","$239,000",2,3,"1,106",4,2029 Township Cir, Raleigh,NC 27609,NC,27609,2022-12-03
126,"3421 Horseshoe Bnd, Raleigh, NC 27613","$699,950",5,4,"3,200",2,3421 Horseshoe Bnd, Raleigh,NC 27613,NC,27613,2022-12-03
127,"400 W North St APT 1532, Raleigh, NC 27603","$370,000",1,1,"1,005",3,400 W North St APT 1532, Raleigh,NC 27603,NC,27603,2022-12-03
128,"5412 Sharpe Dr, Raleigh, NC 27612","$324,900",2,2,"1,410",1,5412 Sharpe Dr, Raleigh,NC 27612,NC,27612,2022-12-03
129,"8120 Knebworth Ct, Raleigh, NC 27613","$450,000",3,3,"2,526",1,8120 Knebworth Ct, Raleigh,NC 27613,NC,27613,2022-12-03
130,"4502 Queen Pierrette St #22, Raleigh, NC 27610","$299,990",3,3,"1,573",7,4502 Queen Pierrette St #22, Raleigh,NC 27610,NC,27610,2022-12-03
131,"3810 Grey Harbor Dr APT 203, Raleigh, NC 27616","$170,000",1,2,752,5,3810 Grey Harbor Dr APT 203, Raleigh,NC 27616,NC,27616,2022-12-03
132,"4735 Quarryman Rd, Raleigh, NC 27610","$329,900",3,3,"1,918",1,4735 Quarryman Rd, Raleigh,NC 27610,NC,27610,2022-12-03
133,"805 Nuttree Pl, Raleigh, NC 27606","$445,000",3,2,"1,403",1,805 Nuttree Pl, Raleigh,NC 27606,NC,27606,2022-12-03
134,"5604 Sherrif Pl W, Raleigh, NC 27610","$336,000",4,2,"2,178",1,5604 Sherrif Pl W, Raleigh,NC 27610,NC,27610,2022-12-03
135,"4617 Dresden Village Dr, Raleigh, NC 27604","$400,000",4,3,"2,194",6,4617 Dresden Village Dr, Raleigh,NC 27604,NC,27604,2022-12-03
136,"3900 Cane Garden Dr, Raleigh, NC 27610","$389,900",4,3,"2,482",2,3900 Cane Garden Dr, Raleigh,NC 27610,NC,27610,2022-12-03
137,"108 Penncross Dr, Raleigh, NC 27610","$429,900",5,3,"2,400",3,108 Penncross Dr, Raleigh,NC 27610,NC,27610,2022-12-03
138,"563 Pine Ridge Pl #563, Raleigh, NC 27609","$175,000",2,1,905,4,563 Pine Ridge Pl #563, Raleigh,NC 27609,NC,27609,2022-12-03
139,"10904 Brass Kettle Rd, Raleigh, NC 27614","$639,900",4,3,"2,321",1,10904 Brass Kettle Rd, Raleigh,NC 27614,NC,27614,2022-12-03
140,"5837 Dahlberg Dr, Raleigh, NC 27603","$469,500",3,3,"2,310",3,5837 Dahlberg Dr, Raleigh,NC 27603,NC,27603,2022-12-03
141,"4412 Major Loring Way, Raleigh, NC 27616","$399,900",3,3,"2,216",3,4412 Major Loring Way, Raleigh,NC 27616,NC,27616,2022-12-03
142,"8009 Ghost Pony Trl, Raleigh, NC 27613","$1,095,000",4,4,"3,472",1,8009 Ghost Pony Trl, Raleigh,NC 27613,NC,27613,2022-12-03
143,"4725 Royal Troon Dr, Raleigh, NC 27604","$499,000",5,4,"3,700",5,4725 Royal Troon Dr, Raleigh,NC 27604,NC,27604,2022-12-03
144,"250 E Davie St #250, Raleigh, NC 27601","$409,900",2,2,"1,107",4,250 E Davie St #250, Raleigh,NC 27601,NC,27601,2022-12-03
145,"1909 Carthage Cir, Raleigh, NC 27604","$350,000",3,3,"1,834",1,1909 Carthage Cir, Raleigh,NC 27604,NC,27604,2022-12-03
146,"10201 Sorrills Creek Ln, Raleigh, NC 27614","$495,000",4,3,"2,202",1,10201 Sorrills Creek Ln, Raleigh,NC 27614,NC,27614,2022-12-03
147,"10804 Summerton Dr, Raleigh, NC 27614","$729,500",4,3,"3,063",5,10804 Summerton Dr, Raleigh,NC 27614,NC,27614,2022-12-03
148,"1317 October Rd, Raleigh, NC 27614","$749,000",4,4,"3,505",1,1317 October Rd, Raleigh,NC 27614,NC,27614,2022-12-03
149,"7418 State Highway 42 W, Raleigh, NC 27603","$360,000",3,2,"1,752",1,7418 State Highway 42 W, Raleigh,NC 27603,NC,27603,2022-12-03
150,"8777 Cypress Grove Run, Raleigh, NC 27612","$350,000",2,4,"1,845",4,8777 Cypress Grove Run, Raleigh,NC 27612,NC,27612,2022-12-03
151,"5914 Applewood Ln, Raleigh, NC 27609","$299,777",2,2,"1,120",1,5914 Applewood Ln, Raleigh,NC 27609,NC,27609,2022-12-03
152,"7409 Capstone Dr, Raleigh, NC 27615","$849,900",4,3,"3,299",5,7409 Capstone Dr, Raleigh,NC 27615,NC,27615,2022-12-03
153,"2444 Milburnie Rd, Raleigh, NC 27610","$359,000",3,1,"1,013",1,2444 Milburnie Rd, Raleigh,NC 27610,NC,27610,2022-12-03
154,"1107 Brightskies St, Morrisville, NC 27560","$399,000",3,3,"1,880",5,1107 Brightskies St, Morrisville,NC 27560,NC,27560,2022-12-03
155,"4105-07 Arckelton Dr, Raleigh, NC 27612","$695,000",--,--,--,3,4105-07 Arckelton Dr, Raleigh,NC 27612,NC,27612,2022-12-03
156,"5902 Carmel Ln, Raleigh, NC 27609","$375,000",3,3,"1,830",3,5902 Carmel Ln, Raleigh,NC 27609,NC,27609,2022-12-03
157,"9717 Batesville Dr, Raleigh, NC 27617","$479,900",4,3,"2,211",3,9717 Batesville Dr, Raleigh,NC 27617,NC,27617,2022-12-03
158,"5229 Newstead Manor Ln, Raleigh, NC 27606","$1,950,000",4,5,"5,557",1,5229 Newstead Manor Ln, Raleigh,NC 27606,NC,27606,2022-12-03
159,"1331 Ileagnes Rd, Raleigh, NC 27603","$579,900",4,3,"2,577",6,1331 Ileagnes Rd, Raleigh,NC 27603,NC,27603,2022-12-03
160,"4927 Werribee Dr, Raleigh, NC 27616","$330,000",3,2,"1,367",7,4927 Werribee Dr, Raleigh,NC 27616,NC,27616,2022-12-03
161,"7703 River Field Dr, Raleigh, NC 27616","$284,999",3,3,"1,256",3,7703 River Field Dr, Raleigh,NC 27616,NC,27616,2022-12-03
162,"1734 Township Cir, Raleigh, NC 27609","$270,000",2,3,"1,285",3,1734 Township Cir, Raleigh,NC 27609,NC,27609,2022-12-03
163,"7800 Laurel Mountain Rd, Raleigh, NC 27613","$649,900",4,3,"2,784",5,7800 Laurel Mountain Rd, Raleigh,NC 27613,NC,27613,2022-12-03
164,"2200 Wyckford Forest Dr, Raleigh, NC 27604","$385,000",3,4,"2,171",7,2200 Wyckford Forest Dr, Raleigh,NC 27604,NC,27604,2022-12-03
165,"10805 Pendragon Pl, Raleigh, NC 27614","$350,000",4,3,"1,973",2,10805 Pendragon Pl, Raleigh,NC 27614,NC,27614,2022-12-03
166,"5405 Emerson Dr, Raleigh, NC 27609","$775,000",4,3,"2,068",1,5405 Emerson Dr, Raleigh,NC 27609,NC,27609,2022-12-03
167,"4003 Marsh Creek Rd, Raleigh, NC 27604","$370,000",3,2,"1,532",1,4003 Marsh Creek Rd, Raleigh,NC 27604,NC,27604,2022-12-03
168,"1001 Minnie Dr, Raleigh, NC 27603","$640,000",3,3,"2,555",3,1001 Minnie Dr, Raleigh,NC 27603,NC,27603,2022-12-03
169,"4112 Mardella Dr, Raleigh, NC 27613","$500,000",4,3,"2,266",5,4112 Mardella Dr, Raleigh,NC 27613,NC,27613,2022-12-03
170,"3932 Griffis Glen Dr, Raleigh, NC 27610","$315,000",4,3,"1,621",3,3932 Griffis Glen Dr, Raleigh,NC 27610,NC,27610,2022-12-03
171,"4710 Quiet Creek Ln, Knightdale, NC 27545","$428,000",5,3,"2,349",1,4710 Quiet Creek Ln, Knightdale,NC 27545,NC,27545,2022-12-03
172,"7624 Pinecrest Rd, Raleigh, NC 27613","$824,750",4,4,"3,260",D,7624 Pinecrest Rd, Raleigh,NC 27613,NC,27613,2022-12-03
173,"6417 Camellia Creek Dr, Raleigh, NC 27603","$855,000",4,5,"3,700",1,6417 Camellia Creek Dr, Raleigh,NC 27603,NC,27603,2022-12-03
174,"1921 Deep Forest Trl, Raleigh, NC 27603","$425,000",4,4,"2,116",2,1921 Deep Forest Trl, Raleigh,NC 27603,NC,27603,2022-12-03
175,"68 Old Hickory Dr, Raleigh, NC 27603","$549,900",4,3,"2,845",1,68 Old Hickory Dr, Raleigh,NC 27603,NC,27603,2022-12-03
176,"2608 Elmhurst Cir, Raleigh, NC 27610","$275,000",3,2,"1,613",2,2608 Elmhurst Cir, Raleigh,NC 27610,NC,27610,2022-12-03
177,"8236 Ebenezer Church Rd, Raleigh, NC 27617","$424,900",3,4,"1,950",1,8236 Ebenezer Church Rd, Raleigh,NC 27617,NC,27617,2022-12-03
178,"906 Brooks Ave, Raleigh, NC 27607","$2,225,000",4,5,"4,459",7,906 Brooks Ave, Raleigh,NC 27607,NC,27607,2022-12-03
179,"4921 Hollenden Dr APT 204, Raleigh, NC 27616","$199,900",2,2,"1,345",3,4921 Hollenden Dr APT 204, Raleigh,NC 27616,NC,27616,2022-12-03
180,"7244 Janston Dr, Raleigh, NC 27613","$350,000",3,4,"1,912",3,7244 Janston Dr, Raleigh,NC 27613,NC,27613,2022-12-03
181,"2921 Maidenhair Dr, Raleigh, NC 27610","$360,000",4,3,"2,044",2,2921 Maidenhair Dr, Raleigh,NC 27610,NC,27610,2022-12-03
182,"6713 Johnsdale Rd, Raleigh, NC 27615","$439,500",3,4,"2,584",5,6713 Johnsdale Rd, Raleigh,NC 27615,NC,27615,2022-12-03
183,"4901 Cardinal Grove Blvd, Raleigh, NC 27616","$377,000",3,3,"1,943",3,4901 Cardinal Grove Blvd, Raleigh,NC 27616,NC,27616,2022-12-03
