,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
645,"1501 Liatris Ln, Raleigh, NC 27613","$1,350,000",5,5,"8,343",5,1501 Liatris Ln, Raleigh,NC 27613,NC,27613,2022-12-03
646,"1208 Kimberly Dr, Raleigh, NC 27609","$2,250,000",4,6,"4,909",2,1208 Kimberly Dr, Raleigh,NC 27609,NC,27609,2022-12-03
647,"1012 Chapanoke Rd, Raleigh, NC 27603","$525,000",3,3,"2,764",5,1012 Chapanoke Rd, Raleigh,NC 27603,NC,27603,2022-12-03
648,"2028 Stoneglen Ln, Raleigh, NC 27603","$434,900",4,3,"2,090",1,2028 Stoneglen Ln, Raleigh,NC 27603,NC,27603,2022-12-03
649,"3600 Star Trek Ct, Raleigh, NC 27604","$374,900",3,2,"1,263",2,3600 Star Trek Ct, Raleigh,NC 27604,NC,27604,2022-12-03
650,"1124 Shadywood Ln, Raleigh, NC 27603","$480,000",3,4,"3,559",9,1124 Shadywood Ln, Raleigh,NC 27603,NC,27603,2022-12-03
651,"3233 Landing Falls Ln, Raleigh, NC 27616","$464,000",4,4,"2,916",3,3233 Landing Falls Ln, Raleigh,NC 27616,NC,27616,2022-12-03
652,"11000 Feather Grass Ln, Raleigh, NC 27613","$356,000",3,3,"1,360",1,11000 Feather Grass Ln, Raleigh,NC 27613,NC,27613,2022-12-03
653,"1508 Brassfield Rd, Raleigh, NC 27614","$325,000",0.99 Acres,13 days,525,2,1508 Brassfield Rd, Raleigh,NC 27614,NC,27614,2022-12-03
654,"10421 Rosegate Ct UNIT 201, Raleigh, NC 27617","$334,500",2,2,"1,447",1,10421 Rosegate Ct UNIT 201, Raleigh,NC 27617,NC,27617,2022-12-03
655,"4836 Parker Meadow Dr, Raleigh, NC 27614","$4,750,000",6,9,"7,074",1,4836 Parker Meadow Dr, Raleigh,NC 27614,NC,27614,2022-12-03
656,"515 E Cabarrus St, Raleigh, NC 27601","$355,000","3,049.2 Square Feet",8 days,411,1,515 E Cabarrus St, Raleigh,NC 27601,NC,27601,2022-12-03
657,"2532 Beech Gap Ct, Raleigh, NC 27603","$489,900",3,3,"2,088",5,2532 Beech Gap Ct, Raleigh,NC 27603,NC,27603,2022-12-03
658,"3724 Massey Ridge Ct, Raleigh, NC 27616","$525,000",5,3,"2,582",4,3724 Massey Ridge Ct, Raleigh,NC 27616,NC,27616,2022-12-03
