,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
0,"609 Jordan Ridge Ln, Raleigh, NC 27603","$388,000",3,3,"2,031",4,609 Jordan Ridge Ln, Raleigh,NC 27603,NC,27603,2022-11-30
1,"4332 Rockside Hills Dr, Raleigh, NC 27603","$419,500",3,2,"1,820",1,4332 Rockside Hills Dr, Raleigh,NC 27603,NC,27603,2022-11-30
2,"4605 Lord Mario Court, Raleigh, NC 27610","$375,000",3,3,"2,285",1,4605 Lord Mario Court, Raleigh,NC 27610,NC,27610,2022-11-30
3,"4216 Loon Ln, Raleigh, NC 27616","$328,000",3,3,"1,581",2,4216 Loon Ln, Raleigh,NC 27616,NC,27616,2022-11-30
4,"4209 Willow Lake Rd, Raleigh, NC 27616","$365,000",3,3,"1,534",1,4209 Willow Lake Rd, Raleigh,NC 27616,NC,27616,2022-11-30
5,"2708 Boxelder Ct, Raleigh, NC 27610","$285,000",3,2,"1,070",8,2708 Boxelder Ct, Raleigh,NC 27610,NC,27610,2022-11-30
6,"548 Dacian Rd, Raleigh, NC 27610","$289,000",4,3,"1,592",2,548 Dacian Rd, Raleigh,NC 27610,NC,27610,2022-11-30
7,"3208 Planet Dr, Raleigh, NC 27604","$300,000",3,2,"1,214",1,3208 Planet Dr, Raleigh,NC 27604,NC,27604,2022-11-30
8,"10316 20th Rd, Raleigh, NC 27603","$679,900",4,4,"2,840",3,10316 20th Rd, Raleigh,NC 27603,NC,27603,2022-11-30
9,"11308 Derby Ln, Raleigh, NC 27613","$775,000",4,4,"3,450",5,11308 Derby Ln, Raleigh,NC 27613,NC,27613,2022-11-30
10,"4105 Crowfield Dr, Raleigh, NC 27610","$345,000",4,3,"1,786",3,4105 Crowfield Dr, Raleigh,NC 27610,NC,27610,2022-11-30
11,"1200 Kerrigan Ln, Raleigh, NC 27603","$329,900",3,3,"1,709",2,1200 Kerrigan Ln, Raleigh,NC 27603,NC,27603,2022-11-30
12,"1621 Whittington Dr, Raleigh, NC 27614","$550,000",4,3,"2,686",5,1621 Whittington Dr, Raleigh,NC 27614,NC,27614,2022-11-30
13,"2212 Anderson Dr, Raleigh, NC 27608","$1,249,000",4,3,"3,007",5,2212 Anderson Dr, Raleigh,NC 27608,NC,27608,2022-11-30
14,"4601 Landover Woods Ln, Raleigh, NC 27616","$400,000",4,3,"2,034",9,4601 Landover Woods Ln, Raleigh,NC 27616,NC,27616,2022-11-30
