,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
15,"4505 Buffaloe Rd, Raleigh, NC 27616","$290,000",3,2,"1,396",2,4505 Buffaloe Rd, Raleigh,NC 27616,NC,27616,2022-11-30
16,"5920 Dunbarton Way, Raleigh, NC 27613","$559,900",4,3,"2,343",2,5920 Dunbarton Way, Raleigh,NC 27613,NC,27613,2022-11-30
17,"3409 Cheyenne Rd, Raleigh, NC 27609","$389,900",3,2,"1,394",1,3409 Cheyenne Rd, Raleigh,NC 27609,NC,27609,2022-11-30
18,"612 Poplar Springs Church Rd, Raleigh, NC 27603","$389,000",3,2,"1,874",5,612 Poplar Springs Church Rd, Raleigh,NC 27603,NC,27603,2022-11-30
19,"2613 Elmhurst Cir, Raleigh, NC 27610","$272,500",3,1,"1,064",1,2613 Elmhurst Cir, Raleigh,NC 27610,NC,27610,2022-11-30
20,"6000 Winterpointe Ln APT 104, Raleigh, NC 27606","$255,000",2,2,"1,089",7,6000 Winterpointe Ln APT 104, Raleigh,NC 27606,NC,27606,2022-11-30
21,"2108 Ramseur St, Raleigh, NC 27610","$449,900",4,3,"1,900",1,2108 Ramseur St, Raleigh,NC 27610,NC,27610,2022-11-30
22,"11905 Straight A Way Ln, Raleigh, NC 27613","$550,000",4,3,"2,882",5,11905 Straight A Way Ln, Raleigh,NC 27613,NC,27613,2022-11-30
23,"7600 Birchmoor Way, Raleigh, NC 27616","$465,000",4,5,"2,828",1,7600 Birchmoor Way, Raleigh,NC 27616,NC,27616,2022-11-30
24,"3008 Dawnbrook Dr, Raleigh, NC 27604","$415,000",4,3,"2,775",7,3008 Dawnbrook Dr, Raleigh,NC 27604,NC,27604,2022-11-30
25,"1327 Cricket Ridge Dr, Raleigh, NC 27610","$280,000",3,3,"1,404",6,1327 Cricket Ridge Dr, Raleigh,NC 27610,NC,27610,2022-11-30
26,"5804 Conly Dr, Raleigh, NC 27603","$300,000",3,2,"1,319",3,5804 Conly Dr, Raleigh,NC 27603,NC,27603,2022-11-30
27,"105 Tall Rock Court, Raleigh, NC 27610","$257,900",2,2,938,3,105 Tall Rock Court, Raleigh,NC 27610,NC,27610,2022-11-30
28,"4504 Queen Pierrette St #21, Raleigh, NC 27610","$303,990",3,3,"1,601",2,4504 Queen Pierrette St #21, Raleigh,NC 27610,NC,27610,2022-11-30
29,"500 Trunecek Cir, Raleigh, NC 27603","$450,000",3,2,"2,445",7,500 Trunecek Cir, Raleigh,NC 27603,NC,27603,2022-11-30
30,"5901 Rivercliff Ct, Raleigh, NC 27610","$375,000",4,3,"2,200",6,5901 Rivercliff Ct, Raleigh,NC 27610,NC,27610,2022-11-30
31,"125 Trails End Ct, Raleigh, NC 27614","$450,000",4,4,"2,115",1,125 Trails End Ct, Raleigh,NC 27614,NC,27614,2022-11-30
32,"3401 Sitzman Ct, Raleigh, NC 27616","$335,000",3,3,"1,661",8,3401 Sitzman Ct, Raleigh,NC 27616,NC,27616,2022-11-30
33,"269 Beechwood Hill Dr, Raleigh, NC 27603","$329,000",3,3,"2,313",9,269 Beechwood Hill Dr, Raleigh,NC 27603,NC,27603,2022-11-30
34,"7112 Ray Rd, Raleigh, NC 27613","$385,000",3,2,"1,523",2,7112 Ray Rd, Raleigh,NC 27613,NC,27613,2022-11-30
35,"5412 Seafarer Ct, Raleigh, NC 27613","$474,900",3,3,"2,060",7,5412 Seafarer Ct, Raleigh,NC 27613,NC,27613,2022-11-30
36,"2312 K Wesley Way, Raleigh, NC 27610","$299,900",3,2,"1,101",8,2312 K Wesley Way, Raleigh,NC 27610,NC,27610,2022-11-30
37,"6104 Bayberry Ln, Raleigh, NC 27612","$535,000",4,3,"2,362",2,6104 Bayberry Ln, Raleigh,NC 27612,NC,27612,2022-11-30
38,"2472 Sapphire Valley Dr, Raleigh, NC 27604","$325,000",3,3,"1,721",3,2472 Sapphire Valley Dr, Raleigh,NC 27604,NC,27604,2022-11-30
39,"2200 Wyckford Forest Dr, Raleigh, NC 27604","$385,000",3,4,"2,171",4,2200 Wyckford Forest Dr, Raleigh,NC 27604,NC,27604,2022-11-30
40,"1116 Kitt Pl, Raleigh, NC 27610","$345,000",3,3,"1,857",2,1116 Kitt Pl, Raleigh,NC 27610,NC,27610,2022-11-30
41,"5120 Wood Valley Dr, Raleigh, NC 27613","$599,000",4,3,"3,343",2,5120 Wood Valley Dr, Raleigh,NC 27613,NC,27613,2022-11-30
42,"1908 Jupiter Hills Ct, Raleigh, NC 27604","$350,000",3,3,"1,558",2,1908 Jupiter Hills Ct, Raleigh,NC 27604,NC,27604,2022-11-30
43,"7800 Foxwood Dr, Raleigh, NC 27615","$375,000",3,2,"1,562",6,7800 Foxwood Dr, Raleigh,NC 27615,NC,27615,2022-11-30
44,"2618 Masonboro Ct #2618, Raleigh, NC 27604","$135,000",2,1,896,9,2618 Masonboro Ct #2618, Raleigh,NC 27604,NC,27604,2022-11-30
45,"8801 Wildwood Links, Raleigh, NC 27613","$587,000",3,2,"2,364",8,8801 Wildwood Links, Raleigh,NC 27613,NC,27613,2022-11-30
46,"3127 Briar Stream Run, Raleigh, NC 27612","$899,900",4,4,"3,453",1,3127 Briar Stream Run, Raleigh,NC 27612,NC,27612,2022-11-30
47,"1112 Temple St, Raleigh, NC 27609","$499,000",3,2,"1,433",3,1112 Temple St, Raleigh,NC 27609,NC,27609,2022-11-30
48,"2419 Britt Dr, Raleigh, NC 27610","$399,900",3,2,"2,290",4,2419 Britt Dr, Raleigh,NC 27610,NC,27610,2022-11-30
49,"2411 Laurel Valley Way, Raleigh, NC 27604","$325,000",3,4,"1,891",5,2411 Laurel Valley Way, Raleigh,NC 27604,NC,27604,2022-11-30
50,"4412 Birmingham Way, Raleigh, NC 27604","$370,000",4,3,"2,192",2,4412 Birmingham Way, Raleigh,NC 27604,NC,27604,2022-11-30
51,"4913 Stoneyoak Ln, Raleigh, NC 27610","$550,000",4,3,"2,581",2,4913 Stoneyoak Ln, Raleigh,NC 27610,NC,27610,2022-11-30
52,"601 Okelly St, Raleigh, NC 27607","$275,000",3,2,"1,222",1,601 Okelly St, Raleigh,NC 27607,NC,27607,2022-11-30
53,"2621 Oldgate Dr APT 202, Raleigh, NC 27604","$250,000",2,2,"1,037",5,2621 Oldgate Dr APT 202, Raleigh,NC 27604,NC,27604,2022-11-30
54,"5501 Oregon Landing Pl, Raleigh, NC 27610","$400,000",5,3,"2,113",1,5501 Oregon Landing Pl, Raleigh,NC 27610,NC,27610,2022-11-30
55,"7409 Capstone Dr, Raleigh, NC 27615","$849,900",4,3,"3,299",5,7409 Capstone Dr, Raleigh,NC 27615,NC,27615,2022-11-30
56,"4212 Timberwood Dr, Raleigh, NC 27612","$384,900",3,3,"1,503",7,4212 Timberwood Dr, Raleigh,NC 27612,NC,27612,2022-11-30
57,"712 Powell Dr APT A, Raleigh, NC 27606","$324,500",2,3,"1,510",5,712 Powell Dr APT A, Raleigh,NC 27606,NC,27606,2022-11-30
58,"5904 Endsley Ct, Raleigh, NC 27610","$352,000",3,3,"1,566",1,5904 Endsley Ct, Raleigh,NC 27610,NC,27610,2022-11-30
59,"906 Brooks Ave, Raleigh, NC 27607","$2,225,000",4,5,"4,459",6,906 Brooks Ave, Raleigh,NC 27607,NC,27607,2022-11-30
60,"5837 Dahlberg Dr, Raleigh, NC 27603","$469,500",3,3,"2,310",3,5837 Dahlberg Dr, Raleigh,NC 27603,NC,27603,2022-11-30
61,"12816 Beech Wood Ct, Raleigh, NC 27614","$500,000",4,3,"2,344",6,12816 Beech Wood Ct, Raleigh,NC 27614,NC,27614,2022-11-30
62,"7705 Falcon Rest Cir, Raleigh, NC 27615","$260,000",3,3,"1,447",7,7705 Falcon Rest Cir, Raleigh,NC 27615,NC,27615,2022-11-30
63,"8009 Ghost Pony Trl, Raleigh, NC 27613","$1,095,000",4,4,"3,472",1,8009 Ghost Pony Trl, Raleigh,NC 27613,NC,27613,2022-11-30
64,"10804 Summerton Dr, Raleigh, NC 27614","$729,500",4,3,"3,063",2,10804 Summerton Dr, Raleigh,NC 27614,NC,27614,2022-11-30
65,"4800 Patton Ridge Ct, Raleigh, NC 27612","$929,000",5,5,"3,644",9,4800 Patton Ridge Ct, Raleigh,NC 27612,NC,27612,2022-11-30
66,"2112 Leadenhall Way, Raleigh, NC 27603","$399,900",3,3,"1,516",3,2112 Leadenhall Way, Raleigh,NC 27603,NC,27603,2022-11-30
67,"7418 State Highway 42 W, Raleigh, NC 27603","$360,000",3,2,"1,752",1,7418 State Highway 42 W, Raleigh,NC 27603,NC,27603,2022-11-30
68,"2434 Stevens Rd, Raleigh, NC 27610","$379,900",3,1,"1,040",5,2434 Stevens Rd, Raleigh,NC 27610,NC,27610,2022-11-30
69,"524 Branch St, Raleigh, NC 27601","$289,900",3,1,"1,034",4,524 Branch St, Raleigh,NC 27601,NC,27601,2022-11-30
70,"10716 Leslie Dr, Raleigh, NC 27615","$700,000",4,3,"3,738",4,10716 Leslie Dr, Raleigh,NC 27615,NC,27615,2022-11-30
71,"3709 Beaver Creek Dr, Raleigh, NC 27604","$510,000",3,3,"2,074",9,3709 Beaver Creek Dr, Raleigh,NC 27604,NC,27604,2022-11-30
72,"3528 Dewing Dr, Raleigh, NC 27616","$410,000",4,3,"2,977",6,3528 Dewing Dr, Raleigh,NC 27616,NC,27616,2022-11-30
73,"1616 Wynne Trace Ct, Raleigh, NC 27603","$725,000",5,4,"4,336",4,1616 Wynne Trace Ct, Raleigh,NC 27603,NC,27603,2022-11-30
74,"12805 Rosalie St, Raleigh, NC 27614","$799,990",5,5,"3,909",2,12805 Rosalie St, Raleigh,NC 27614,NC,27614,2022-11-30
75,"4705 Crescent Square St #1308, Raleigh, NC 27616","$452,900",4,3,"2,541",3,4705 Crescent Square St #1308, Raleigh,NC 27616,NC,27616,2022-11-30
76,"2834 Bedfordshire Ct, Raleigh, NC 27604","$247,000",2,2,"1,053",5,2834 Bedfordshire Ct, Raleigh,NC 27604,NC,27604,2022-11-30
77,"5704 Continental Way, Raleigh, NC 27610","$336,000",3,3,"1,627",2,5704 Continental Way, Raleigh,NC 27610,NC,27610,2022-11-30
78,"2219 River Basin Ln, Raleigh, NC 27610","$339,900",3,3,"1,863",1,2219 River Basin Ln, Raleigh,NC 27610,NC,27610,2022-11-30
79,"8505 Cool Vista Ln, Raleigh, NC 27613","$395,000",3,3,"1,679",6,8505 Cool Vista Ln, Raleigh,NC 27613,NC,27613,2022-11-30
80,"10201 Sorrills Creek Ln, Raleigh, NC 27614","$495,000",4,3,"2,202",1,10201 Sorrills Creek Ln, Raleigh,NC 27614,NC,27614,2022-11-30
81,"3100 Braddock Dr, Raleigh, NC 27612","$639,500",5,3,"3,567",5,3100 Braddock Dr, Raleigh,NC 27612,NC,27612,2022-11-30
82,"6500 Hammersmith Dr, Raleigh, NC 27613","$480,000",3,2,"1,482",2,6500 Hammersmith Dr, Raleigh,NC 27613,NC,27613,2022-11-30
83,"4112 Mardella Dr, Raleigh, NC 27613","$500,000",4,3,"2,266",5,4112 Mardella Dr, Raleigh,NC 27613,NC,27613,2022-11-30
84,"805 Nuttree Pl, Raleigh, NC 27606","$445,000",3,2,"1,403",1,805 Nuttree Pl, Raleigh,NC 27606,NC,27606,2022-11-30
85,"10904 Brass Kettle Rd, Raleigh, NC 27614","$639,900",4,3,"2,321",1,10904 Brass Kettle Rd, Raleigh,NC 27614,NC,27614,2022-11-30
86,"250 E Davie St #250, Raleigh, NC 27601","$409,900",2,2,"1,107",4,250 E Davie St #250, Raleigh,NC 27601,NC,27601,2022-11-30
87,"2116 Turtle Point Dr, Raleigh, NC 27604","$269,000",3,3,"1,430",2,2116 Turtle Point Dr, Raleigh,NC 27604,NC,27604,2022-11-30
88,"1355 Garden Crest Cir, Raleigh, NC 27609","$295,000",3,4,"1,830",4,1355 Garden Crest Cir, Raleigh,NC 27609,NC,27609,2022-11-30
89,"7310 Summerland Dr, Raleigh, NC 27612","$310,000",3,3,"1,628",7,7310 Summerland Dr, Raleigh,NC 27612,NC,27612,2022-11-30
90,"3810 Grey Harbor Dr APT 203, Raleigh, NC 27616","$170,000",1,2,752,5,3810 Grey Harbor Dr APT 203, Raleigh,NC 27616,NC,27616,2022-11-30
91,"563 Pine Ridge Pl #563, Raleigh, NC 27609","$175,000",2,1,905,3,563 Pine Ridge Pl #563, Raleigh,NC 27609,NC,27609,2022-11-30
92,"1112 Stoneferry Ln, Raleigh, NC 27606","$449,000",3,3,"1,768",8,1112 Stoneferry Ln, Raleigh,NC 27606,NC,27606,2022-11-30
93,"3421 Horseshoe Bnd, Raleigh, NC 27613","$699,950",5,4,"3,200",2,3421 Horseshoe Bnd, Raleigh,NC 27613,NC,27613,2022-11-30
94,"4001 Blackard Pond Rd, Raleigh, NC 27604","$349,900",3,2,"1,925",1,4001 Blackard Pond Rd, Raleigh,NC 27604,NC,27604,2022-11-30
95,"10100 Darling St, Raleigh, NC 27613","$660,000",4,4,"3,094",1,10100 Darling St, Raleigh,NC 27613,NC,27613,2022-11-30
96,"5005 Dawn Piper Dr, Raleigh, NC 27613","$355,000",3,3,"1,382",4,5005 Dawn Piper Dr, Raleigh,NC 27613,NC,27613,2022-11-30
97,"4725 Royal Troon Dr, Raleigh, NC 27604","$499,000",5,4,"3,700",4,4725 Royal Troon Dr, Raleigh,NC 27604,NC,27604,2022-11-30
98,"5914 Applewood Ln, Raleigh, NC 27609","$299,777",2,2,"1,120",1,5914 Applewood Ln, Raleigh,NC 27609,NC,27609,2022-11-30
99,"1713 Oberlin Rd, Raleigh, NC 27608","$475,000",2,2,990,2,1713 Oberlin Rd, Raleigh,NC 27608,NC,27608,2022-11-30
100,"6460 Camellia Creek Dr, Raleigh, NC 27603","$799,000",4,4,"4,000",1,6460 Camellia Creek Dr, Raleigh,NC 27603,NC,27603,2022-11-30
101,"9216 Erinsbrook Dr, Raleigh, NC 27617","$525,000",4,4,"2,922",4,9216 Erinsbrook Dr, Raleigh,NC 27617,NC,27617,2022-11-30
102,"4017 Whitney Peak Dr, Raleigh, NC 27616","$423,340",4,3,"2,134",3,4017 Whitney Peak Dr, Raleigh,NC 27616,NC,27616,2022-11-30
103,"1330 Armstrong Cir, Raleigh, NC 27610","$319,700",4,2,"1,307",3,1330 Armstrong Cir, Raleigh,NC 27610,NC,27610,2022-11-30
104,"7822 Allscott Way, Raleigh, NC 27612","$340,000",2,3,"1,404",5,7822 Allscott Way, Raleigh,NC 27612,NC,27612,2022-11-30
105,"5121 Carnelian Dr, Raleigh, NC 27610","$325,000",4,3,"1,629",2,5121 Carnelian Dr, Raleigh,NC 27610,NC,27610,2022-11-30
106,"1107 Brightskies St, Morrisville, NC 27560","$412,500",3,3,"1,880",4,1107 Brightskies St, Morrisville,NC 27560,NC,27560,2022-11-30
107,"1317 October Rd, Raleigh, NC 27614","$749,000",4,4,"3,505",8,1317 October Rd, Raleigh,NC 27614,NC,27614,2022-11-30
108,"301 Fayetteville St UNIT 3107, Raleigh, NC 27601","$785,000",2,2,"1,435",4,301 Fayetteville St UNIT 3107, Raleigh,NC 27601,NC,27601,2022-11-30
109,"1024 Sandel Ln, Raleigh, NC 27603","$445,000",3,3,"2,631",4,1024 Sandel Ln, Raleigh,NC 27603,NC,27603,2022-11-30
110,"8631 Neuse Club Ln APT 108, Raleigh, NC 27616","$270,000",3,3,"1,692",9,8631 Neuse Club Ln APT 108, Raleigh,NC 27616,NC,27616,2022-11-30
111,"10937 Connally Ln, Raleigh, NC 27614","$389,900",3,2,"1,515",1,10937 Connally Ln, Raleigh,NC 27614,NC,27614,2022-11-30
112,"5426 Talserwood Dr, Raleigh, NC 27610","$190,000",3,3,"1,115",4,5426 Talserwood Dr, Raleigh,NC 27610,NC,27610,2022-11-30
113,"4301 Sugarbend Way, Raleigh, NC 27606","$299,900",2,3,"1,345",3,4301 Sugarbend Way, Raleigh,NC 27606,NC,27606,2022-11-30
114,"5412 Sharpe Dr, Raleigh, NC 27612","$324,900",2,2,"1,410",1,5412 Sharpe Dr, Raleigh,NC 27612,NC,27612,2022-11-30
115,"5701 Setter Cir, Raleigh, NC 27609","$370,000",3,2,"1,827",3,5701 Setter Cir, Raleigh,NC 27609,NC,27609,2022-11-30
116,"1909 Carthage Cir, Raleigh, NC 27604","$350,000",3,3,"1,834",1,1909 Carthage Cir, Raleigh,NC 27604,NC,27604,2022-11-30
117,"9307 Sevillanos Walk, Raleigh, NC 27617","$525,000",3,3,"2,219",4,9307 Sevillanos Walk, Raleigh,NC 27617,NC,27617,2022-11-30
118,"11710 Mezzanine Dr UNIT 101, Raleigh, NC 27614","$289,000",3,3,"1,735",8,11710 Mezzanine Dr UNIT 101, Raleigh,NC 27614,NC,27614,2022-11-30
119,"1957 Indianwood Ct, Raleigh, NC 27604","$349,900",3,3,"1,529",1,1957 Indianwood Ct, Raleigh,NC 27604,NC,27604,2022-11-30
120,"5808 Nottoway Ct APT B, Raleigh, NC 27609","$252,000",3,3,"1,460",1,5808 Nottoway Ct APT B, Raleigh,NC 27609,NC,27609,2022-11-30
121,"1331 Ileagnes Rd, Raleigh, NC 27603","$579,900",4,3,"2,577",5,1331 Ileagnes Rd, Raleigh,NC 27603,NC,27603,2022-11-30
122,"1048 Nichols Dr #1048, Raleigh, NC 27605","$309,000",2,2,914,2,1048 Nichols Dr #1048, Raleigh,NC 27605,NC,27605,2022-11-30
123,"3506 Bellevue Rd, Raleigh, NC 27609","$600,000","10,018.8 Square Feet",1 day,221,6,3506 Bellevue Rd, Raleigh,NC 27609,NC,27609,2022-11-30
124,"400 W North St APT 1532, Raleigh, NC 27603","$370,000",1,1,"1,005",5,400 W North St APT 1532, Raleigh,NC 27603,NC,27603,2022-11-30
125,"4921 Hollenden Dr APT 204, Raleigh, NC 27616","$199,900",2,2,"1,345",6,4921 Hollenden Dr APT 204, Raleigh,NC 27616,NC,27616,2022-11-30
126,"716 Nash Dr, Raleigh, NC 27608","$575,000",5,2,"2,324",5,716 Nash Dr, Raleigh,NC 27608,NC,27608,2022-11-30
127,"8236 Ebenezer Church Rd, Raleigh, NC 27617","$424,900",3,4,"1,950",1,8236 Ebenezer Church Rd, Raleigh,NC 27617,NC,27617,2022-11-30
128,"4016 Cashew Dr, Raleigh, NC 27616","$349,900",3,3,"1,342",7,4016 Cashew Dr, Raleigh,NC 27616,NC,27616,2022-11-30
129,"5901 Canewood Pl, Raleigh, NC 27612","$511,000",3,4,"2,447",1,5901 Canewood Pl, Raleigh,NC 27612,NC,27612,2022-11-30
130,"4710 Quiet Creek Ln, Knightdale, NC 27545","$428,000",5,3,"2,349",1,4710 Quiet Creek Ln, Knightdale,NC 27545,NC,27545,2022-11-30
131,"3800 Ingram Dr, Raleigh, NC 27604","$575,000",3,3,"1,800",1,3800 Ingram Dr, Raleigh,NC 27604,NC,27604,2022-11-30
132,"4945 Royal Adelaide Way, Raleigh, NC 27604","$325,000",3,3,"1,476",7,4945 Royal Adelaide Way, Raleigh,NC 27604,NC,27604,2022-11-30
133,"4735 Quarryman Rd, Raleigh, NC 27610","$334,900",3,3,"1,918",8,4735 Quarryman Rd, Raleigh,NC 27610,NC,27610,2022-11-30
134,"1110 Schaub Dr APT I, Raleigh, NC 27606","$189,900",2,2,932,4,1110 Schaub Dr APT I, Raleigh,NC 27606,NC,27606,2022-11-30
135,"3317 Perkins Ridge Rd, Raleigh, NC 27610","$380,000",4,3,"2,428",2,3317 Perkins Ridge Rd, Raleigh,NC 27610,NC,27610,2022-11-30
136,"4111 Wyrick Ct, Raleigh, NC 27604","$305,000",2,2,"1,261",2,4111 Wyrick Ct, Raleigh,NC 27604,NC,27604,2022-11-30
137,"7703 River Field Dr, Raleigh, NC 27616","$284,999",3,3,"1,256",7,7703 River Field Dr, Raleigh,NC 27616,NC,27616,2022-11-30
138,"7805 Wakebrook Dr, Raleigh, NC 27616","$350,000",3,2,"2,310",3,7805 Wakebrook Dr, Raleigh,NC 27616,NC,27616,2022-11-30
139,"8848 Thornton Town Pl, Raleigh, NC 27616","$320,000",3,4,"2,033",6,8848 Thornton Town Pl, Raleigh,NC 27616,NC,27616,2022-11-30
140,"2631 Oldgate Dr APT 103, Raleigh, NC 27604","$295,000",2,2,943,6,2631 Oldgate Dr APT 103, Raleigh,NC 27604,NC,27604,2022-11-30
141,"1331 Courtland Dr, Raleigh, NC 27604","$1,000,000",4,3,"2,529",2,1331 Courtland Dr, Raleigh,NC 27604,NC,27604,2022-11-30
142,"311 Lord Ashley Rd, Raleigh, NC 27610","$799,900",5,3,"3,098",2,311 Lord Ashley Rd, Raleigh,NC 27610,NC,27610,2022-11-30
143,"5229 Newstead Manor Ln, Raleigh, NC 27606","$1,950,000",4,5,"5,557",1,5229 Newstead Manor Ln, Raleigh,NC 27606,NC,27606,2022-11-30
144,"1615 Malta Ave, Raleigh, NC 27610","$299,000",4,3,"1,352",7,1615 Malta Ave, Raleigh,NC 27610,NC,27610,2022-11-30
145,"9717 Batesville Dr, Raleigh, NC 27617","$479,900",4,3,"2,211",3,9717 Batesville Dr, Raleigh,NC 27617,NC,27617,2022-11-30
146,"5604 Sherrif Pl W, Raleigh, NC 27610","$336,000",4,2,"2,178",1,5604 Sherrif Pl W, Raleigh,NC 27610,NC,27610,2022-11-30
147,"2904 London Bell Dr, Raleigh, NC 27614","$685,000",4,4,"3,448",6,2904 London Bell Dr, Raleigh,NC 27614,NC,27614,2022-11-30
148,"710 Independence Pl UNIT 606, Raleigh, NC 27603","$1,100,000",3,4,"2,372",7,710 Independence Pl UNIT 606, Raleigh,NC 27603,NC,27603,2022-11-30
149,"104 S Pettigrew St, Raleigh, NC 27610","$485,000",3,2,"1,313",2,104 S Pettigrew St, Raleigh,NC 27610,NC,27610,2022-11-30
150,"2001 Bason Ct, Raleigh, NC 27609","$485,000",3,3,"1,739",2,2001 Bason Ct, Raleigh,NC 27609,NC,27609,2022-11-30
151,"2206 Lyndhurst Dr, Raleigh, NC 27610","$425,000",4,4,"3,191",5,2206 Lyndhurst Dr, Raleigh,NC 27610,NC,27610,2022-11-30
152,"410 Fenton St, Raleigh, NC 27604","$625,000",3,2,"1,712",1,410 Fenton St, Raleigh,NC 27604,NC,27604,2022-11-30
153,"7409 Peddler Pl, Raleigh, NC 27615","$550,000",4,3,"2,625",7,7409 Peddler Pl, Raleigh,NC 27615,NC,27615,2022-11-30
154,"1500 Old Watkins Rd, Raleigh, NC 27616","$549,900",3,3,"2,484",1,1500 Old Watkins Rd, Raleigh,NC 27616,NC,27616,2022-11-30
155,"6520 English Oaks Dr, Raleigh, NC 27615","$287,500",2,4,"1,090",5,6520 English Oaks Dr, Raleigh,NC 27615,NC,27615,2022-11-30
156,"2433 Sunnystone Way, Raleigh, NC 27613","$715,000",4,3,"2,919",2,2433 Sunnystone Way, Raleigh,NC 27613,NC,27613,2022-11-30
157,"11128 Crestmont Dr, Raleigh, NC 27613","$419,900",3,2,"1,360",7,11128 Crestmont Dr, Raleigh,NC 27613,NC,27613,2022-11-30
158,"3801 Birchwood Ct, Raleigh, NC 27612","$360,000",3,3,"1,340",1,3801 Birchwood Ct, Raleigh,NC 27612,NC,27612,2022-11-30
159,"11727 Man O War Trl, Raleigh, NC 27613","$799,900",4,4,"3,266",7,11727 Man O War Trl, Raleigh,NC 27613,NC,27613,2022-11-30
160,"4300 Camelot Dr, Raleigh, NC 27609","$4,995,000",5,9,"7,674",1,4300 Camelot Dr, Raleigh,NC 27609,NC,27609,2022-11-30
161,"1409 E Lenoir St, Raleigh, NC 27610","$355,000",3,2,"1,224",7,1409 E Lenoir St, Raleigh,NC 27610,NC,27610,2022-11-30
162,"805 Van Thomas Dr, Raleigh, NC 27615","$549,000",4,3,"3,051",D,805 Van Thomas Dr, Raleigh,NC 27615,NC,27615,2022-11-30
163,"537 Pine Ridge Pl #537, Raleigh, NC 27609","$249,000",3,2,"1,232",5,537 Pine Ridge Pl #537, Raleigh,NC 27609,NC,27609,2022-11-30
164,"616 E Cabarrus St, Raleigh, NC 27601","$1,100,000",4,3,"2,577",1,616 E Cabarrus St, Raleigh,NC 27601,NC,27601,2022-11-30
165,"618 N Boylan Ave SUITE 506, Raleigh, NC 27603","$550,000",2,2,"1,122",2,618 N Boylan Ave SUITE 506, Raleigh,NC 27603,NC,27603,2022-11-30
166,"4502 Queen Pierrette St #22, Raleigh, NC 27610","$299,990",3,3,"1,573",6,4502 Queen Pierrette St #22, Raleigh,NC 27610,NC,27610,2022-11-30
167,"9709 Dayton Ct, Raleigh, NC 27617","$950,000",5,5,"4,165",1,9709 Dayton Ct, Raleigh,NC 27617,NC,27617,2022-11-30
168,"7800 Laurel Mountain Rd, Raleigh, NC 27613","$649,900",4,3,"2,784",4,7800 Laurel Mountain Rd, Raleigh,NC 27613,NC,27613,2022-11-30
169,"1919 Fieldhouse Ave, Raleigh, NC 27603","$330,000",3,3,"1,531",7,1919 Fieldhouse Ave, Raleigh,NC 27603,NC,27603,2022-11-30
170,"2921 Maidenhair Dr, Raleigh, NC 27610","$360,000",4,3,"2,044",2,2921 Maidenhair Dr, Raleigh,NC 27610,NC,27610,2022-11-30
